GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Booktopia,controller.viewcontroller,AddBookViewController,104,0,0,0,22,0,4,0,4,0
Booktopia,controller.viewcontroller,AddToCartViewController,104,0,10,0,24,0,8,0,3,0
Booktopia,service,BuyerService,176,0,8,0,45,0,22,0,18,0
Booktopia,service,OrderService,3,0,0,0,1,0,1,0,1,0
Booktopia,service,AdminService,65,0,6,0,16,0,7,0,4,0
Booktopia,service,CategoryService,18,0,0,0,5,0,3,0,3,0
Booktopia,service,ProductService,59,0,2,0,12,0,7,0,6,0
Booktopia,utils,EMFactory,21,0,6,0,9,0,5,0,2,0
Booktopia,utils,Result,3,0,0,0,1,0,1,0,1,0
Booktopia,utils,ValidatorUtil,505,0,56,0,84,0,35,0,7,0
Booktopia,utils,RequestBuilderUtil,116,0,0,0,28,0,4,0,4,0
Booktopia,validator,CartValidator,71,0,6,0,14,0,4,0,1,0
Booktopia,validator,MinFieldLengthValidator,29,0,2,0,4,0,4,0,3,0
Booktopia,validator,CreditLimitValidator,9,0,0,0,1,0,2,0,2,0
Booktopia,validator,BirthdayValidator,6,0,0,0,1,0,1,0,1,0
Booktopia,validator,CountryValidator,1022,0,0,0,3,0,3,0,3,0
Booktopia,validator,UniqueEmailValidator,14,0,0,0,2,0,2,0,2,0
Booktopia,validator,PhoneNumberValidator,9,0,0,0,1,0,2,0,2,0
Booktopia,validator,NotEmptyValidator,14,0,4,0,1,0,4,0,2,0
Booktopia,validator,UniquePhoneNumberValidator,14,0,0,0,2,0,2,0,2,0
Booktopia,validator,PasswordConfirmationValidator,4,0,0,0,1,0,1,0,1,0
Booktopia,validator,MaxFieldLengthValidator,29,0,2,0,4,0,4,0,3,0
Booktopia,validator,EmailValidator,9,0,0,0,1,0,2,0,2,0
Booktopia,listener,EmfLoader,28,0,2,0,9,0,4,0,3,0
Booktopia,model,Category,44,0,6,0,13,0,6,0,3,0
Booktopia,model,Order.OrderStatus,21,0,0,0,2,0,1,0,1,0
Booktopia,model,OrderProduct,30,0,4,0,8,0,6,0,4,0
Booktopia,model,Buyer,85,0,2,0,25,0,15,0,14,0
Booktopia,model,Order,32,0,4,0,11,0,4,0,2,0
Booktopia,mapper,ProductToNextProductDto,16,0,0,0,6,0,2,0,2,0
Booktopia,repository,BuyerRepository,349,0,30,0,110,0,29,0,14,0
Booktopia,repository,CategoryRepository,4,0,0,0,2,0,1,0,1,0
Booktopia,repository,ProductRepository,148,0,8,0,23,0,8,0,4,0
Booktopia,repository,AdminRepository,24,0,0,0,8,0,2,0,2,0
Booktopia,dto,CategoryDto,3,0,0,0,1,0,1,0,1,0
Booktopia,dto,BuyerDto,3,0,0,0,1,0,1,0,1,0
Booktopia,dto,ProductDto,3,0,0,0,1,0,1,0,1,0
Booktopia,dto,OrderDto,3,0,0,0,1,0,1,0,1,0
Booktopia,dto,AdminDto,3,0,0,0,1,0,1,0,1,0
Booktopia,dto,NextProductDto,15,0,0,0,1,0,1,0,1,0
Booktopia,base,BaseRepository,203,0,10,0,57,0,17,0,12,0
Booktopia,base,BaseEntity,24,0,0,0,11,0,2,0,2,0
